,name,x.mni,y.mni,z.mni,lobe,hemi,index,gyrus,gyrus.full,subregion,subregion.full,Yeo_7network,Yeo_17network
177,CG_L_7_2,-3,8,25,Limbic,L,177,CG,Cingulate Gyrus,A24rv,rostroventral area 24,SCGM,SCGM
178,CG_R_7_2,5,22,12,Limbic,R,178,CG,Cingulate Gyrus,A24rv,rostroventral area 24,SCGM,SCGM
179,CG_L_7_3,-6,34,21,Limbic,L,179,CG,Cingulate Gyrus,A32p,pregenual area 32,Default,Visual C
180,CG_R_7_3,5,28,27,Limbic,R,180,CG,Cingulate Gyrus,A32p,pregenual area 32,Ventral Attention,Salience/VenAttn A
181,CG_L_7_4,-8,-47,10,Limbic,L,181,CG,Cingulate Gyrus,A23v,ventral area 23,Default,Default C
182,CG_R_7_4,9,-44,11,Limbic,R,182,CG,Cingulate Gyrus,A23v,ventral area 23,Visual,Default C
183,CG_L_7_5,-5,7,37,Limbic,L,183,CG,Cingulate Gyrus,A24cd,caudodorsal area 24,Ventral Attention,Dorsal Attention B
184,CG_R_7_5,4,6,38,Limbic,R,184,CG,Cingulate Gyrus,A24cd,caudodorsal area 24,Ventral Attention,Dorsal Attention B
185,CG_L_7_6,-7,-23,41,Limbic,L,185,CG,Cingulate Gyrus,A23c,caudal area 23,Ventral Attention,Salience/VenAttn A
186,CG_R_7_6,6,-20,40,Limbic,R,186,CG,Cingulate Gyrus,A23c,caudal area 23,Ventral Attention,Dorsal Attention B
187,CG_L_7_7,-4,39,-2,Limbic,L,187,CG,Cingulate Gyrus,A32sg,subgenual area 32,Default,Visual C
